,Course Name,Course Description,Keywords,Concepts,Technical Skills,Soft Skills,Coding Skills
33,Distributed Algorithms and Optimization,"The emergence of clusters of commodity machines with parallel processing units has brought with it a slew of new algorithms and tools. Many fields such as Machine Learning and Optimization have adapted their algorithms to handle such clusters. Topics include distributed and parallel algorithms for: Optimization, Numerical Linear Algebra, Machine Learning, Graph analysis, Streaming algorithms, and other problems that are challenging to scale on a commodity cluster. The class will focus on analyzing parallel and distributed programs, with some implementation using Apache Spark and TensorFlow.","['parallel processing units', 'Numerical Linear Algebra', 'parallel algorithms', 'new algorithms', 'Machine Learning', 'commodity machines', 'commodity cluster', 'Apache Spark', 'Graph analysis', 'clusters', 'slew', 'emergence', 'Optimization', 'tools', 'fields', 'Topics', 'class', 'programs', 'problems']","['Algorithm', 'Parallel computing', 'Mathematics', 'Numerical analysis', 'Machine learning', 'Matrix', 'Parallel algorithm', 'Linear algebra', 'Real number', 'Vector space', 'Machines', 'Algorithmic efficiency', 'Linear programming', 'Discrete mathematics', 'Simplex algorithm', 'Derivative', 'Greek loanwords', 'Scientific method', 'Distributed algorithms', 'Computer program', 'Machine', 'Analysis']","['algorithms', 'Machine Learning', 'algorithms', 'algorithms', 'Linear Algebra', 'Machine Learning', 'algorithms']",[],['Spark']
34,Parallel Methods in Numerical Analysis,"Emphasis is on techniques for obtaining maximum parallelism in numerical algorithms, especially those occurring when solving matrix problems, partial differential equations, and the subsequent mapping onto the computer. Implementation issues on parallel computers. Topics: parallel architecture, programming models (MPI, GPU Computing with CUDA åÀ quick review), matrix computations, FFT, fast multiple methods, domain decomposition, graph partitioning, discrete algorithms. Prerequisites: 302 or 200 (ME 300A), 213 or equivalent, or consent of instructor. Recommended: differential equations and knowledge of a high-level programming language such as C or C++ (F90/95 also allowable).","['partial differential equations', 'åÀ quick review', 'high-level programming language', 'fast multiple methods', 'maximum parallelism', 'numerical algorithms', 'matrix problems', 'matrix computations', 'subsequent mapping', 'GPU Computing', 'parallel computers', 'discrete algorithms', 'graph partitioning', 'parallel architecture', 'Implementation issues', 'programming models', '300A', 'CUDA', 'Prerequisites', 'FFT', 'decomposition', 'MPI', 'consent']","['Algorithm', 'Computer', 'Computer science', 'Programming language', 'Parallel computing', 'Derivative', 'Graphics processing unit', 'CUDA', 'Parallel algorithm', 'Numerical analysis', 'Mathematics', 'Differential equation', 'Partial differential equation', 'Computer program', 'Computing', 'Computer programming']","['algorithms', 'programming', 'algorithms', 'programming']",[],"['C', 'C++']"
35,Parallel Computing,"This course is an introduction to parallelism and parallel programming. Most new computer architectures are parallel; programming these machines requires knowledge of the basic issues of and techniques for writing parallel software. Topics: varieties of parallelism in current hardware (e.g., fast networks, multicore, accelerators such as GPUs, vector instruction sets), importance of locality, implicit vs. explicit parallelism, shared vs. non-shared memory, synchronization mechanisms (locking, atomicity, transactions, barriers), and parallel programming models (threads, data parallel/streaming, MapReduce, Apache Spark, SPMD, message passing, SIMT, transactions, and nested parallelism). Significant parallel programming assignments will be given as homework. The course is open to students who have completed the introductory CS course sequence through 110 and have taken CS 143.","['parallel programming', 'parallel programming models', 'parallel programming assignments', 'CS course sequence', 'explicit parallelism', 'parallel software', 'new computer architectures', 'synchronization mechanisms', 'Apache Spark', 'basic issues', 'vector instruction', 'message passing', 'fast networks', 'non-shared memory', 'atomicity', 'SPMD', 'GPUs', 'multicore', 'accelerators', 'transactions', 'locality', 'homework', 'barriers', 'introduction', 'importance', 'varieties', 'threads', 'machines', 'knowledge', 'techniques', 'Topics', 'data']","['Parallel computing', 'Central processing unit', 'Parallel programming model', 'Message Passing Interface', 'Instruction set', 'Barrier', 'Computer']","['programming', 'programming', 'programming', 'programming']",[],"['MapReduce', 'Spark']"
36,Parallel Computer Architecture and Programming,"The principles and tradeoffs in the design of parallel architectures. Emphasis is on naming, latency, bandwidth, and synchronization in parallel machines. Case studies on shared memory, message passing, data flow, and data parallel machines illustrate techniques. Architectural studies and lectures on techniques for programming parallel computers. Programming assignments on one or more commercial multiprocessors. Prerequisites: EE 282, and reasonable programming experience.","['parallel machines', 'data parallel machines', 'programming parallel computers', 'parallel architectures', 'reasonable programming experience', 'commercial multiprocessors', 'message passing', 'Case studies', 'data flow', 'Architectural studies', 'tradeoffs', 'latency', 'Prerequisites', 'EE', 'synchronization', 'bandwidth', 'techniques', 'assignments', 'principles', 'design', 'Emphasis']","['Parallel computing', 'Computer', 'Algorithm', 'Inter-process communication', 'Greek loanwords']","['programming', 'Programming', 'programming']",[],[]
37,Advanced Multi-Core Systems,"In-depth coverage of the architectural techniques used in modern, multi-core chips for mobile and server systems. Advanced processor design techniques (superscalar cores, VLIW cores, multi-threaded cores, energy-efficient cores), cache coherence, memory consistency, vector processors, graphics processors, heterogeneous processors, and hardware support for security and parallel programming. Students will become familiar with complex trade-offs between performance-power-complexity and hardware-software interactions. A central part of CS316 is a project on an open research question on multi-core technologies. Prerequisites: EE 180 (formerly 108B) and EE 282. Recommended: CS 149.","['superscalar cores', 'VLIW cores', 'energy-efficient cores', 'multi-threaded cores', 'Advanced processor design', 'multi-core chips', 'open research question', 'heterogeneous processors', 'vector processors', 'multi-core technologies', 'graphics processors', 'cache coherence', 'hardware-software interactions', 'complex trade-offs', 'In-depth coverage', 'memory consistency', 'server systems', 'architectural techniques', 'parallel programming', 'hardware support', 'EE', 'Prerequisites']","['Parallel computing', 'Central processing unit', 'Vector processor', 'SIMD', 'Superscalar', 'Instruction set', 'ILLIAC IV', 'Stream processing', 'Research', 'Consistency model', 'CPU cache', 'Multi-core processor', 'Simultaneous multithreading', 'Computer architecture', 'X86', 'Computer', 'Instruction level parallelism', 'Computer program', 'Personal computer', 'Graphics processing unit', 'Supercomputer', 'Scalar processor', 'Graphic design', 'CUDA', 'Cray-1']",['programming'],[],[]
38,Representations and Algorithms for Computational Molecular Biology,"Topics: introduction to bioinformatics and computational biology, algorithms for alignment of biological sequences and structures, computing with strings, phylogenetic tree construction, hidden Markov models, basic structural computations on proteins, protein structure prediction, protein threading techniques, homology modeling, molecular dynamics and energy minimization, statistical analysis of 3D biological data, integration of data sources, knowledge representation and controlled terminologies for molecular biology, microarray analysis, machine learning (clustering and classification), and natural language text processing. Prerequisite: CS 106B; recommended: CS161; consent of instructor for 3 units.Same as: BIOMEDIN 214, CS 274, GENE 214","['protein threading techniques', 'protein structure prediction', 'phylogenetic tree construction', 'basic structural computations', '3D biological data', 'natural language text', 'CS 106B', 'homology modeling', 'Markov models', 'energy minimization', 'biological sequences', 'microarray analysis', 'computational biology', 'molecular dynamics', 'statistical analysis', 'knowledge representation', 'data sources', 'molecular biology', 'terminologies', 'Prerequisite', 'consent', 'alignment', 'strings', 'proteins', 'bioinformatics', 'algorithms', 'Topics', 'introduction', 'structures', 'integration', 'machine', 'classification']","['Bioinformatics', 'Protein', 'DNA', 'Molecular biology', 'Protein structure prediction', 'Protein structure', 'Biology', 'Evolution', 'Sequence alignment', 'Gene', 'Phylogenetics', 'Homology modeling', 'Computer science', 'Machine learning', 'Phylogenetic tree', 'Computational biology', 'Species', 'Hidden Markov model', 'Structural genomics', 'Computational genomics', 'Scientific method', 'Cell biology', 'Protein methods', 'Biostatistics', 'Computer', 'Life', 'Drug design', 'Data', 'Genetics', 'Genetic algorithm', 'Proteome', 'Organism', 'Molecular dynamics', 'Secondary structure', 'DNA sequencing theory', 'Protein folding', 'Cladistics', 'Tertiary structure', 'Primary structure', 'Biophysics', 'Amino acid', 'Structure', 'Multiple sequence alignment', 'Computational phylogenetics', 'DNA microarray', 'Computing', 'Biochemistry', 'Formal sciences', 'RNA', 'Threading']","['algorithms', 'machine learning', 'clustering']",[],[]
39,Data Driven Medicine,"The widespread adoption of electronic health records (EHRs) has created a new source of åÀbig dataåÀåÀnamely, the record of routine clinical practiceåÀas a by-product of care. This graduate class will teach you how to use EHRs and other patient data to discover new clinical knowledge and improve healthcare. Upon completing this course, you should be able to: differentiate between and give examples of categories of research questions and the study designs used to address them, describe common healthcare data sources and their relative advantages and limitations, extract and transform various kinds of clinical data to create analysis-ready datasets, design and execute an analysis of a clinical dataset based on your familiarity with the workings, applicability, and limitations of common statistical methods, evaluate and criticize published research using your knowledge of 1-4 to generate new research ideas and separate hype from reality. Prerequisites: CS 106A or equivalent, STATS 60 or equivalent. Recommended: STATS 216, CS 145, STATS 305.","['electronic health records', 'transform various kinds', 'new clinical knowledge', 'healthcare data sources', 'common statistical methods', 'new research ideas', 'widespread adoption', 'new source', 'CS 106A', 'relative advantages', 'graduate class', 'clinical dataset', 'analysis-ready datasets', 'separate hype', 'patient data', 'study designs', 'research questions', 'clinical data', 'EHRs', 'STATS', 'limitations', 'by-product', 'criticize', 'familiarity', 'Prerequisites', 'applicability', 'workings', 'extract', 'evaluate', 'åÀbig', 'course']","['Statistics', 'Data', 'Data set', 'Scientific method', 'Electronic health record', 'Health care', 'Epidemiology', 'Source code', 'Applied mathematics', 'Biostatistics', 'Analysis of variance', 'Social research']",[],[],[]
40,Modern Statistics for Modern Biology,"Application based course in nonparametric statistics. Modern toolbox of visualization and statistical methods for the analysis of data, examples drawn from immunology, microbiology, cancer research and ecology. Methods covered include multivariate methods (PCA and extensions), sparse representations (trees, networks, contingency tables) as well as nonparametric testing (Bootstrap, permutation and Monte Carlo methods). Hands on, use R and cover many Bioconductor packages. Prerequisite: Minimal familiarity with computers. Instructor consent. Cross-listed as STATS 366.Same as: STATS 366","['Monte Carlo methods', 'nonparametric statistics', 'nonparametric testing', 'sparse representations', 'Bioconductor packages', 'Minimal familiarity', 'Modern toolbox', 'contingency tables', 'multivariate methods', 'Instructor consent', 'cancer research', 'statistical methods', 'STATS', 'Prerequisite', 'permutation', 'Bootstrap', 'PCA', 'immunology', 'microbiology']","['Statistics', 'Resampling']","['statistics', 'visualization']",[],['R']
41,Social and Information Network Analysis,"Networks are a fundamental tool for modeling complex social, technological, and biological systems. Coupled with emergence of online social networks and large-scale data availability in biological sciences, this course focuses on the analysis of massive networks which provide many computational, algorithmic, and modeling challenges. This course develops computational tools that reveal how the social, technological, and natural worlds are connected, and how the study of networks sheds light on these connections. nTopics include: how information spreads through society; robustness and fragility of food webs and financial markets; algorithms for the World Wide Web; friend prediction in online social networks; identification of functional modules in biological networks; disease outbreak detection.","['online social networks', 'large-scale data availability', 'disease outbreak detection', 'World Wide Web', 'fundamental tool', 'modeling complex', 'massive networks', 'biological systems', 'food webs', 'networks sheds', 'friend prediction', 'modeling challenges', 'natural worlds', 'biological sciences', 'financial markets', 'computational tools', 'functional modules', 'biological networks', 'fragility', 'robustness']","['World Wide Web', 'Sociology', 'Epidemiology', 'Web 2.0', 'Ecology', 'Science', 'World', 'Natural selection', 'Algorithm', 'Systems theory', 'Species', 'Natural science', 'Computer science', 'Discrete mathematics', 'Programming language', 'Algorithmic efficiency', 'Complex system', 'Computational complexity theory', 'Life', 'Al-Jahiz', 'Computational geometry', 'Society', 'Phylogenetics', 'Charles Darwin', 'Natural environment', 'Tim Berners-Lee', 'Biology', 'Tool', 'Paleontology', 'Computer', 'Internet', 'Outbreak', 'Analysis of algorithms', 'Complexity', 'Entomology', 'Aristotle', 'Self-organization', 'Computer program', 'Scientific method']",['algorithms'],[],[]
42,Machine Learning,"Topics: statistical pattern recognition, linear and non-linear regression, non-parametric methods, exponential family, GLMs, support vector machines, kernel methods, model/feature selection, learning theory, VC dimension, clustering, density estimation, EM, dimensionality reduction, ICA, PCA, reinforcement learning and adaptive control, Markov decision processes, approximate dynamic programming, and policy search. Prerequisites: linear algebra, and basic probability and statistics.Same as: STATS 229","['statistical pattern recognition', 'support vector machines', 'approximate dynamic programming', 'dimensionality reduction', 'non-linear regression', 'non-parametric methods', 'VC dimension', 'density estimation', 'exponential family', 'Markov decision', 'linear algebra', 'kernel methods', 'adaptive control', 'reinforcement learning', 'model/feature selection', 'basic probability', 'policy search', 'GLMs', 'Prerequisites', 'PCA', 'clustering', 'STATS', 'Topics', 'theory']","['Machine learning', 'Vector space', 'Mathematics', 'Statistics', 'Dimension', 'Linear algebra', 'Markov decision process', 'Probability', 'Pattern recognition', 'Kernel density estimation', 'Real number', 'Regression analysis', 'Non-parametric statistics', 'Support vector machine', 'Algebra', 'Statistical classification', 'Histogram', 'Estimation', 'Resampling']","['regression', 'clustering', 'programming', 'probability', 'statistics']",[],[]
43,Convolutional Neural Networks for Visual Recognition,"Computer Vision has become ubiquitous in our society, with applications innsearch, image understanding, apps, mapping, medicine, drones, andnself-driving cars. Core to many of these applications are the tasks of image classification, localization and detection. This course is a deep dive into details of neural network architectures with a focus on learning end-to-end models for these tasks, particularly image classification. During the 10-week course, students will learn to implement, train and debug their own neural networks and gain a detailed understanding of cutting-edge research in computer vision. The final assignment will involve training a multi-million parameter convolutional neural network and applying it on the largest image classification dataset (ImageNet). We will focus on teaching how to set up the problem of image recognition, the learning algorithms (e.g. backpropagation), practical engineering tricks for training and fine-tuning the networks and guide the students through hands-on assignments and a final course project. Much of the background and materials of this course will be drawn from the ImageNet Challenge: http://image-net.org/challenges/LSVRC/2014/index. Prerequisites: Proficiency in Python; familiarity with C/C++; CS 131 and CS 229 or equivalents; Math 21 or equivalent, linear algebra.","['image classification', 'neural network architectures', 'convolutional neural network', 'image classification dataset', 'practical engineering tricks', 'final course project', 'multi-million parameter', 'neural networks', '10-week course', 'andnself-driving cars', 'image understanding', 'applications innsearch', 'end-to-end models', 'e.g. backpropagation', 'cutting-edge research', 'deep dive', 'final assignment', 'hands-on assignments', 'image recognition', 'linear algebra', 'ImageNet Challenge', 'tasks', 'CS', 'vision', 'students', 'drones', 'apps', 'Prerequisites', 'familiarity', 'equivalents', 'Proficiency', 'localization', 'society', 'mapping', 'medicine', 'C/C++', 'Core', 'detection', 'details', 'teaching', 'problem', 'Math', 'background', 'materials', 'http://image-net.org/challenges/LSVRC/2014/index']","['Artificial intelligence', 'Neural network', 'Machine learning', 'Artificial neural network', 'Neuroscience', 'Mathematics', 'Education', 'Learning', 'Cognitive science', 'Algorithm', 'Artificial neuron', 'Perceptron', 'Unsupervised learning', 'Networks', 'Neural networks', 'Statistical classification', 'Logistic function', 'Predictive analytics', 'C', 'Network architecture', 'English-language films', 'Skill', 'The Final', 'Deep diving', 'Mathematical model', 'Engineering', 'Linear algebra', 'Ubiquitous computing', 'Computer network', 'Psychology', 'Knowledge', 'Optical character recognition', 'Problem of evil', 'Ambient music']",['algorithms'],[],"['Python', 'C/C++']"
44,Mining Massive Data Sets,"Availability of massive datasets is revolutionizing science and industry. This course discusses data mining and machine learning algorithms for analyzing very large amounts of data. The focus is on algorithms and systems for mining big data. nTopics include: Big data systems (Hadoop, Spark, Hive); Link Analysis (PageRank, spam detection, hubs-and-authorities); Similarity search (locality-sensitive hashing, shingling, minhashing, random hyperplanes); Stream data processing; Analysis of social-network graphs; Association rules; Dimensionality reduction (UV, SVD, and CUR decompositions); Algorithms for very-large-scale mining (clustering, nearest-neighbor search); Large-scale machine learning (gradient descent, support-vector machines, classification, and regression); Submodular function optimization; Computational advertising. Prerequisites: At least one of CS107 or CS145.","['Big data systems', 'Stream data processing', 'Submodular function optimization', 'massive datasets', 'CUR decompositions', 'large amounts', 'data mining', 'gradient descent', 'social-network graphs', 'spam detection', 'random hyperplanes', 'Large-scale machine', 'Association rules', 'nearest-neighbor search', 'support-vector machines', 'Computational advertising', 'algorithms', 'Hadoop', 'shingling', 'SVD', 'Prerequisites', 'Similarity', 'Hive', 'PageRank', 'Spark', 'Analysis', 'regression', 'Availability', 'science', 'industry', 'course', 'focus', 'nTopics', 'hubs-and-authorities']","['Machine learning', 'Artificial intelligence', 'Singular value decomposition']","['machine learning', 'algorithms', 'machine learning', 'gradient', 'descent', 'regression', 'algorithms', 'big data', 'Big data', 'Algorithms', 'clustering']",[],"['Hadoop', 'Spark', 'Hive']"
45,Topics in Computer Graphics,"Topic changes each quarter. Recent topics: computational photography, datannvisualization, character animation, virtual worlds, graphics architectures, advanced rendering. See http://graphics.stanford.edu/courses for offererings and prerequisites. May be repeated for credit.","['Topic changes', 'graphics architectures', 'virtual worlds', 'Recent topics', 'computational photography', 'character animation', 'prerequisites', 'rendering', 'quarter']","['3D computer graphics', 'Digital photography']",[],[],[]
46,Geostatistics,"Overview of some of the most important data science methods (statistics, machine learning & computer vision) relevant for geological sciences, as well as other fields in the Earth Sciences. Areas covered are: extreme value statistics for predicting rare events; compositional data analysis for geochemistry; multivariate analysis for designing data & computer experiments; probabilistic aggregation of evidence for spatial mapping; functional data analysis for multivariate environmental datasets, spatial regression and modeling spatial uncertainty with covariate information (geostatistics). Identification & learning of geo-objects with computer vision. Focus on practicality rather than theory. Matlab exercises on realistic data problems.Same as: GS 240","['modeling spatial uncertainty', 'multivariate environmental datasets', 'important data science', 'compositional data analysis', 'extreme value statistics', 'functional data analysis', 'realistic data problems.Same', 'spatial regression', 'spatial mapping', 'multivariate analysis', 'probabilistic aggregation', 'geological sciences', 'Earth Sciences', 'rare events', 'practicality', 'vision']","['Scientific method', 'Geography', 'Statistics', 'Geology', 'Theory', 'Science', 'Physics', 'Earth', 'Experiment', 'Paleontology', 'Mathematics', 'Extreme value theory', 'Machine learning', 'Chemistry', 'Data', 'Data analysis', 'Regression analysis', 'Artificial intelligence', 'Multivariate statistics', 'Calculus', 'Biogeochemistry', 'Earth science', 'Kriging', 'Knowledge', 'Optimization', 'Geometallurgy', 'Data set', 'Theophrastus']","['statistics', 'machine learning', 'statistics', 'regression']",[],['Matlab']
47,Business Intelligence from Big Data,"The objective of this course is to analyze real-world situations where significant competitive advantage can be obtained through large-scale data analysis, with special attention to what can be done with the data and where the potential pitfalls lie. Students will be challenged to develop business-relevant questions and then solve for them by manipulating large data sets. Problems from advertising, eCommerce, finance, healthcare, marketing, and revenue management are presented. Students learn to apply software (such as R and SQL) to data sets to create knowledge that will inform decisions. The course covers fundamentals of statistical modeling, machine learning, and data-driven decision making. Students are expected to layer these topics over an existing facility with mathematical notation, algebra, calculus, probability, and basic statistics.","['large-scale data analysis', 'data-driven decision making', 'large data sets', 'real-world situations', 'potential pitfalls', 'special attention', 'revenue management', 'business-relevant questions', 'mathematical notation', 'basic statistics', 'statistical modeling', 'machine learning', 'Students', 'course']","['Statistics', 'Mathematics', 'Learning', 'Scientific method', 'Decision making', 'Data', 'Risk', 'Geometry', 'Decision theory', 'Knowledge', 'Probability theory', 'Marketing', 'Education', 'SQL', 'Neuropsychological assessment', 'Applied mathematics', 'Data set', 'Machine learning', 'Probability', 'Unsolved problems in neuroscience', 'Psychology', 'Decision making software', 'Real number', 'Problem solving', 'Data visualization', 'Indian mathematics', 'Comparison of relational database management systems']","['machine learning', 'probability', 'statistics']",[],"['R', 'SQL']"
48,Human Neuroimaging Methods,"This course introduces the student to human neuroimaging using magnetic resonance scanners. The course is a mixture of lectures and hands-on software tutorials. The course begins by introducing basic MR principles. Then various MR measurement modalities are described, including several types of structural and functional imaging methods. Finally algorithms for analyzing and visualizing the various types of neuroimaging data are explained, including anatomical images, functional data, diffusion imaging (e.g., DTI) and magnetization transfer. Emphasis is on explaining software methods used for interpreting these types of data.","['magnetic resonance scanners', 'MR measurement modalities', 'basic MR principles', 'hands-on software tutorials', 'functional imaging methods', 'human neuroimaging', 'neuroimaging data', 'magnetization transfer', 'anatomical images', 'diffusion imaging', 'software methods', 'various types', 'functional data']","['Medical imaging', 'Magnetic resonance imaging', 'Scientific method', 'Magnetic moment', 'Critical thinking', 'Radiology', 'Computer program', 'Debut albums']",['algorithms'],[],[]
49,Paradigms for Computing with Data,"Programming and computing techniques for the requirements of data science: acquisition and organization of data; visualization, modelling and inference for scientific applications; presentation and interactive communication of results. Emphasis on computing for substantial projects. Software development with emphasis on R, plus other key software tools. Prerequisites: Programming experience including familiarity with R; computing at least at the level of CS 106; statistics at the level of STATS 110 or 141.","['key software tools', 'substantial projects', 'scientific applications', 'interactive communication', 'data science', 'computing techniques', 'Software development', 'Prerequisites', 'familiarity', 'inference', 'CS', 'STATS', 'visualization', 'emphasis', 'modelling', 'acquisition', 'level', 'requirements', 'organization', 'presentation', 'results', 'experience']","['Computer program', 'Computer', 'Mathematics', 'Statistics', 'Software engineering', 'Scientific method', 'Sociology', 'System software', 'Experiment', 'Data', 'Pseudoscience', 'Computational science', 'Human', 'Science', 'Computer science', 'Knowledge', 'Computer software', 'Interactivity', 'Project management', 'Application software', 'Empirical']","['Programming', 'visualization', 'Programming', 'statistics']",[],"['R', 'R']"
50,Programming for Data Science,"Overview of data structures, iteration, flow control, and program design relevant to data exploration and analysis. When and how to exploit pre-existing libraries.","['pre-existing libraries', 'flow control', 'program design', 'data structures', 'data exploration', 'iteration', 'Overview', 'analysis']",['Control flow'],[],[],[]
51,Computing Platforms for Data Science,"How to install, maintain, and use the data scientific software ÛÏstackÛ. The Unix operating system, integrated development environments, and problem solving strategies.","['data scientific software', 'integrated development environments', '\x89ÛÏstack\x89Û\x9d', 'Unix', 'problem', 'strategies']","['Problem solving', 'Microsoft', 'Sun Microsystems', 'Computer', 'Integrated development environment']",[],[],[]
52,Communication and Argumentation,"Effective oral and written communication, across diverse target audiences, to facilitate understanding and decision-making. How to present and interpret data, with productive skepticism and an awareness of assumptions and bias.","['diverse target audiences', 'productive skepticism', 'decision-making', 'assumptions', 'bias', 'understanding', 'data', 'awareness']","['Communication', 'Writing', 'Nonverbal communication', 'Critical thinking', 'Linguistics', 'Understanding', 'Awareness', 'Writing system']",[],[],[]
53,Descriptive Statistics and Probability for Data Science,Fundamental concepts in probability. Describing data generated from a probability distribution. Statistical view of data coming from a probability distribution.,"['probability distribution', 'Fundamental concepts', 'Statistical view', 'Describing data']","['Random variable', 'Statistics']","['probability', 'probability', 'probability']",[],[]
54,Data Wrangling,"Converting data from the form in which it is collected to the form needed for analysis. How to clean, filter, arrange, aggregate, and transform diverse data types, e.g. strings, numbers, and date-times.","['diverse data types', 'e.g. strings', 'arrange', 'aggregate', 'filter', 'form', 'analysis', 'numbers', 'date-times']",['Type system'],[],[],[]
55,Data Visualization I,"The design and implementation of static figures across all phases of data analysis, from ingest and cleaning to description and inference. Plotting tools in R and Python.","['static figures', 'data analysis', 'inference', 'phases', 'Python', 'design', 'implementation', 'description', 'tools']","['Design', 'Data']",[],[],"['R', 'Python']"
56,Algorithms and Data Structures,"How to choose and use appropriate algorithms and data structures to help solve data science problems. Key concepts such as recursion and algorithmic complexity (e.g., efficiency, scalability).","['data science problems', 'appropriate algorithms', 'Key concepts', 'data structures', 'recursion', 'scalability', 'efficiency']","['Algorithmic efficiency', 'Computational complexity theory', 'Computer science', 'Problem solving', 'Algorithm', 'Theory of computation', 'Analysis of algorithms', 'Computer', 'Divide and conquer algorithm', 'Randomized algorithm', 'Computer program', 'Cryptography', 'Kolmogorov complexity']",['algorithms'],[],[]
57,Statistical Inference and Computation I,"The statistical and probabilistic foundations of inference, developed jointly through mathematical derivations and simulation techniques. Important distributions and large sample results. The frequentist paradigm.","['probabilistic foundations', 'large sample results', 'mathematical derivations', 'frequentist paradigm', 'Important distributions', 'simulation techniques', 'inference']","['Applied mathematics', 'Statistics', 'Probability theory', 'Simulation', 'Mathematics']",['simulation'],[],[]
58,Regression I,"Linear models for a quantitative response variable, with multiple categorical and/or quantitative predictors. Matrix formulation of linear regression. Model assessment and prediction.","['quantitative response variable', 'quantitative predictors', 'linear regression', 'Linear models', 'Matrix formulation', 'Model assessment', 'prediction']","['Regression analysis', 'Forecasting', 'Linear regression', 'Econometrics', 'Prediction', 'Multivariate adaptive regression splines', 'Ordinary least squares', 'Errors and residuals in statistics', 'Censored regression model', 'Segmented regression', 'Model', 'Model theory', 'Generalized linear model']","['Linear', 'regression']",[],[]
59,Data Science Workflows,"Interactive vs. scripted/unattended analyses and how to move fluidly between them. Reproducibility through automation and dynamic, literate documents. The use of version control and file organization to enhance machine- and human-readability.","['literate documents', 'version control', 'file organization', 'Reproducibility', 'analyses', 'automation', 'human-readability']","['Scientific method', 'Document', 'Greek loanwords', 'Control system']",[],[],[]
60,Supervised Learning I,"Introduction to supervised machine learning, with a focus on classification. K-NN, Decision trees, SVM, how to combine models via ensembling: boosting, bagging, random forests. Basic machine learning concepts such as generalization error and overfitting.","['generalization error', 'supervised machine', 'random forests', 'Decision trees', 'Basic machine', 'SVM', 'Introduction', 'focus', 'classification', 'K-NN', 'models', 'concepts']","['Machine learning', 'Supervised learning', 'Statistical classification', 'Decision trees', 'Decision tree', 'Classification algorithms', 'Learning']","['supervised', 'machine learning', 'SVM', 'machine learning']",[],[]
61,Databases and Data Retrieval,"How to work with data stored in relational database systems or in formats utilizing markup languages. Storage structures and schemas, data relationships, and ways to query and aggregate such data.","['relational database systems', 'markup languages', 'Storage structures', 'data relationships', 'schemas', 'formats', 'ways']","['Relational database management system', 'Database', 'Relational database', 'SQL', 'Relational algebra', 'Relational model', 'Databases', 'Relation', 'Database model', 'Entity-relationship model', 'Database theory', 'Data modeling']",['database'],[],[]
62,Regression II,"Useful extensions to basic regression, e.g., generalized linear models, mixed effects, smoothing, robust regression, and techniques for dealing with missing data.","['generalized linear models', 'robust regression', 'basic regression', 'Useful extensions', 'mixed effects', 'smoothing', 'e.g.', 'techniques', 'data']","['Regression analysis', 'Linear regression', 'Statistics', 'Econometrics', 'Data analysis', 'Generalized linear model', 'Robust statistics']","['regression', 'regression']",[],[]
63,Feature and Model Selection ,"How to evaluate and select features and models. Cross-validation, ROC curves, feature engineering, the role of regularization. Automating these tasks with hyperparameter optimization.","['ROC curves', 'hyperparameter optimization', 'Cross-validation', 'regularization', 'tasks', 'features', 'models', 'engineering', 'role']",[],[],[],[]
64,Unsupervised Learning,"How to find groups and other structure in unlabeled, possibly high dimensional data. Dimension reduction for visualization and data analysis. Clustering, association rules, model fitting via the EM algorithm.","['high dimensional data', 'Dimension reduction', 'EM algorithm', 'model fitting', 'association rules', 'data analysis', 'visualization', 'groups', 'structure']","['Dimension', 'Abstract algebra', 'Data analysis', 'Data mining', 'Manifold', 'Euclidean space', 'Machine learning', 'Scientific method', 'Model theory']","['visualization', 'Clustering']",[],[]
65,Collaborative Software Development,"How to exploit practices from collaborative software development techniques in data scientific workflows. Appropriate use of abstraction and classes, the software life cycle, unit testing / continuous integration, and packaging for use by others.","['data scientific workflows', 'collaborative software development', 'software life cycle', 'continuous integration', 'unit testing', 'abstraction', 'practices', 'techniques', 'classes']","['Mathematics', 'Software engineering', 'System software', 'Extreme Programming', 'Build automation', 'Computer program', 'Test-driven development', 'Computer programming', 'Software testing', 'Calculus', 'Computer', 'Religion']",[],[],[]
66,"Privacy, Ethics, and Security","The legal, ethical, and security issues concerning data, including aggregated data. Proactive compliance with rules and, in their absence, principles for the responsible management of sensitive data. Case studies.","['Proactive compliance', 'security issues', 'Case studies', 'sensitive data', 'responsible management', 'absence', 'rules', 'principles']",['Case study'],[],['Proactive'],[]
67,Supervised Learning II,Stochastic gradient descent. Logistic Regression. Neural networks and deep learning: state-of-the-art implementation considerations in both software and hardware (GPUs).,"['Stochastic gradient descent', 'state-of-the-art implementation considerations', 'Logistic Regression', 'Neural networks', 'deep learning', 'GPUs', 'software', 'hardware']","['Gradient descent', 'Logistic function', 'Neural network', 'Logistic regression', 'Regression analysis', 'Stochastic gradient descent', 'Artificial neural network', 'Logit']","['gradient descent', 'Logistic Regression', 'deep learning']",[],[]
68,Web and Cloud Computing,"How to use the web as a platform for data collection, computation, and publishing. Accessing data via scraping and APIs. Using the cloud for tasks that are beyond the capability of your local computing resources.","['local computing resources', 'Accessing data', 'data collection', 'scraping', 'APIs', 'computation', 'capability', 'cloud', 'tasks', 'web', 'platform']","['Computer', 'Website', 'CERN', 'XML', 'World Wide Web', 'Computing', 'Google', 'Computation']",['cloud'],[],[]
